Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1,DeMar DeRozan,34,CHI,SF,79,79,2989,650,1355,0.48,75,225,0.333,575,1130,0.509,0.507,522,612,0.853,43,297,340,421,90,45,135,161,1897,0,CPOY-2
2,Domantas Sabonis,27,SAC,C,82,82,2928,634,1068,0.594,33,87,0.379,601,981,0.613,0.609,292,415,0.704,294,826,1120,673,74,48,272,250,1593,26,"MVP-8,DPOY-10,NBA3"
3,Coby White,23,CHI,PG,79,78,2881,541,1209,0.447,209,556,0.376,332,653,0.508,0.534,218,260,0.838,44,314,358,405,53,18,166,186,1509,0,
4,Mikal Bridges,27,BRK,SF,82,82,2854,564,1294,0.436,220,592,0.372,344,702,0.49,0.521,258,317,0.814,68,304,372,299,81,30,164,116,1606,0,
5,Paolo Banchero,21,ORL,PF,80,80,2799,640,1407,0.455,119,351,0.339,521,1056,0.493,0.497,405,559,0.725,82,472,554,431,71,47,247,153,1804,2,AS
6,Kevin Durant,35,PHO,PF,75,75,2791,751,1436,0.523,168,407,0.413,583,1029,0.567,0.581,362,423,0.856,41,454,495,378,69,91,244,133,2032,1,"MVP-9,AS,NBA2"
7,Dejounte Murray,27,ATL,SG,78,78,2783,672,1463,0.459,201,554,0.363,471,909,0.518,0.528,208,262,0.794,62,354,416,502,111,24,201,138,1753,1,
8,Anthony Edwards,22,MIN,SG,79,78,2770,718,1558,0.461,190,532,0.357,528,1026,0.515,0.522,423,506,0.836,52,378,430,405,101,42,241,141,2049,0,"MVP-7,CPOY-8,AS,NBA2"
9,Nikola Jokić,28,DEN,C,79,79,2737,822,1411,0.583,83,231,0.359,739,1180,0.626,0.612,358,438,0.817,223,753,976,708,108,68,237,194,2085,25,"MVP-1,CPOY-4,AS,NBA1"
10,Jalen Brunson,27,NYK,PG,77,77,2726,790,1648,0.479,211,526,0.401,579,1122,0.516,0.543,421,497,0.847,43,235,278,519,70,13,186,144,2212,0,"MVP-5,CPOY-5,AS,NBA2"
11,Josh Hart,28,NYK,SF,81,42,2707,295,679,0.434,80,258,0.31,215,421,0.511,0.493,91,115,0.791,128,547,675,331,75,23,118,171,761,6,
12,Anthony Davis,30,LAL,C,76,76,2700,713,1283,0.556,29,107,0.271,684,1176,0.582,0.567,421,516,0.816,239,722,961,266,91,178,159,177,1876,2,"DPOY-4,AS,NBA2"
